,Salariati,Someri ,Accidente colective munca,Salariul net mediu lunar,Natalitate,Sectii sportive,Sportivi,Populatia activa(mii pers),Populatia ocupata(mii pers.),Personal didactic,Varsta medie a populatiei,Populatia rezidenta,Unitati de invatamant,Casatorii,Varsta medie a sotului,Varsta medie a sotiei,Pensionari,Absolventi bacalaureat
Mures,0.07620291111148779,0.3676809406525444,-0.6162495185552518,0.26618123036471747,0.37990530570771175,0.16574221246861584,0.5047814274070018,0.11951357769451802,0.11417206786355313,0.44982210410100115,-0.3412698377711489,0.26240276811051294,0.20211790520106646,0.1443673584625921,0.34173143455754246,0.17235456280421482,0.28206813588501334,0.06327099401498504
Neamt,-0.25598499186817614,0.1269102803139661,-0.6162495185552518,-0.5772179416507396,-0.0989342362040705,-0.4953747691101086,-0.4420431349167921,-0.2026067167278496,-0.20621183220067238,-0.2427633373306251,0.7038690404029972,-0.005416338215673204,-0.27552133880349977,-0.03125851441054863,-0.5252113994206502,-0.5515346009735009,0.05847984473043242,0.12661740041854586
Olt,-0.3522996647655779,0.8162712630990826,0.9062492919930173,-0.07321072560294839,-0.46695230435585894,-0.4175963006890822,-0.6748688469636266,-0.31934090889458805,-0.3353631275552824,-0.3961015676341278,1.1517857024776328,-0.2867424254644349,-0.014990842073736372,-0.34727667454956423,-0.5252113994206502,-0.642020746445717,-0.2696971385082236,-0.31205646392611275
Prahova,0.36335771753209223,0.060029541331027655,-0.6162495185552518,0.6015086120094173,0.44836498745023357,0.7435251207390977,0.3083922815957454,0.4487921008818271,0.45063059267148564,0.3552091534882016,0.7785218174154375,0.9646057407654515,0.7666006481155538,0.5557872273228199,0.6307123792169355,0.715271435637505,1.1923229909711226,0.8545731873394655
Salaj,-0.5127231896715674,-0.34745359520404595,-0.6162495185552518,-0.3861829484713349,-0.709019687312842,-0.6342648912905129,-0.5086023497731188,-0.5451004314812046,-0.5426703570086049,-0.7260817106580789,0.10664682430348668,-0.9684808817038006,-0.6337507718069244,-0.8725281276794203,-1.7774621596113622,-1.727854492112294,-0.8288432526866,-0.6303721561040059
Satu Mare,-0.30295869558335653,-0.2518630755845291,-0.6162495185552518,-0.3902475227943009,-0.4245905123383869,-0.2398169442981647,-0.30734622580043125,-0.3353092653702267,-0.33314593793546077,-0.44037856422632465,-1.3864087159452951,-0.4922437785767478,-0.42749746189586174,-0.4182859009272847,-0.9105193256331765,-1.094451473806791,-0.5260534352039583,-0.47781289401543026
Sibiu,0.06451109707514271,-0.4368454121861198,0.9062492919930173,0.9144808348778037,-0.1454565613661157,-0.0009259341478693094,-0.045055564884392774,-0.0016256783275689507,0.006084073897248644,-0.02300961213882714,-1.0131448308830997,-0.2580320892380125,0.07185265683618476,-0.26488428974488093,0.1490774714512759,0.17235456280421482,-0.1672423129758918,-0.2202041746409496
Suceava,-0.11511205182225512,1.6726709695879283,0.9062492919930173,-0.5751856544892565,1.3720033455454723,-0.16759408076435447,-0.36496072403574964,0.025355337786441362,-0.0027846845820378467,0.5845173884709473,-1.16245038490798,0.7497023126626018,0.5820582129319715,0.9590762687352172,-2.5480780120364184,-2.451743655890013,0.34707798809154855,0.8281788513379819
Teleorman,-0.4865800457492161,1.1496962154920731,-0.6162495185552518,-0.9023838874880242,-0.7245271290335238,-0.5064859788845409,-0.5183363060959808,-0.44653712771777937,-0.4689488021495356,-0.595581089123183,3.01810512778861,-0.5247709571610306,-0.32979852562220047,-0.6860611515425055,1.0160203054294616,1.0772160175263628,-0.35313716689111696,-0.6166471013832343
Timis,0.8559347374894457,-0.9888561944257871,-0.6162495185552518,1.8818495237437256,0.9033760213521878,1.1879735117163914,1.1857637501564158,0.7967921454543678,0.8186840695618762,1.0429008216122693,-0.9384920538706595,0.7954844165420543,0.6797571492056327,0.7449644792756783,0.6307123792169355,0.715271435637505,0.6348868931390063,0.2770651156270028
Tulcea,-0.5318402346350557,-0.8890244572122302,0.9062492919930173,-0.36382778969502155,-0.9911794805720755,-0.7731550134709172,-0.7376134032609939,-0.6497206980457343,-0.6391181054708458,-0.8710306152914812,0.3306051553408018,-1.0435254436601835,-0.9594138927191287,-0.9408270782411973,1.3050012500888615,0.8962437265819371,-0.9436335807509273,-0.8109094143541542
Valcea,-0.3029862219259965,-0.305041419263646,0.9062492919930173,-0.7621560733456952,-0.6511504535746883,-0.2842617833958941,-0.21829367944127478,-0.26703077561232325,-0.2638587623160348,-0.3891104629090441,1.3757440335149533,-0.44714982656894314,-0.4166420245321216,-0.9917802635809356,0.5343853976638021,0.2628407082764309,-0.19761337252741612,-0.23181768248160242
Vaslui,-0.4869103618608962,1.1111990096384794,-0.6162495185552518,-0.6991551713397214,-0.15302116708352143,-0.5120415837717571,-0.508207729922192,-0.45810042033806947,-0.4800347502486438,-0.3222288943724099,-0.7145337228333444,-0.32233828129030995,-0.22124415198479908,-0.15267887096481877,-1.0068463071863096,-1.184937619279007,-0.42738403047232176,-0.2603235653632048
Vrancea,-0.44595116401255847,-0.23685569025177217,-0.6162495185552518,-0.8881578773576431,-0.47149106778630234,-0.5287083984334057,-0.045055564884392774,-0.4173535796760947,-0.4162905486787719,-0.520077158092279,0.47991070936568214,-0.47744851333632,-0.5143409608057828,-0.5586781881931595,1.112347286982595,0.715271435637505,-0.5540713953388342,-0.42766365561261127
