,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Harghita,-1.7341877706422029,-1.0692407041317369,-0.5512552856203199,-0.689532226030213,-0.23815212980118344,-0.24774345349036908,0.6676877742113223,-0.17898466383219144,0.23209674606487585,0.11921063865002135,-0.1679267892323585,-0.06052205900047082,0.047900867777467826,0.0064990177781723045,-0.05548148147815158,-0.00038333833558750824,0.008783613757929994,-9.693342204552309e-07
Hunedoara,-0.6117047795894232,2.2499723382688788,1.7014940693237264,2.413555386671036,0.08262318780918479,-0.6883796088115025,0.38534761136787715,0.343240503631187,0.16077558385764726,-0.10989108514729952,0.15137436562306902,-0.227618325090583,0.05681485922034274,0.19613242518829807,0.005031284883074541,-0.1102229097784714,0.0006221289361298419,4.437449357172136e-05
Ialomita,-2.554780063273205,0.1453106182383032,-0.5020002106336229,-0.3758368791781186,0.05006198225799129,0.14889810697999792,0.13179392931891493,0.0938080620697827,-0.08572583034224276,-0.059478460137832305,-0.023700253355532424,-0.12351889666611829,0.03511226267667629,-0.04825970736702213,0.07717447994830232,0.07204023226372605,0.01422160827963492,0.00011829593669471386
Iasi,3.3514592166289474,-3.839066400485808,0.8128563249032881,3.3719455011809285,-0.10128306346293349,-0.035815351533586254,-0.45521849088100885,0.006143213791121308,-0.29798710502343423,0.15131996438617462,-0.026304779211134246,-0.007736182816075747,0.11419439178076705,-0.036780971002649085,-0.034992281334008175,0.044879300626468055,0.0015338787457012263,6.600601901472966e-05
Ilfov,0.21757977837853387,0.4169003694613363,-2.851835595104696,0.8163004714818932,-0.648191273946827,0.7260509534428824,-0.1033132897628678,0.9216772863342428,0.013929765699324375,-0.13210684832039576,-0.037279552162622825,0.1802856526213768,-0.15831411923684052,0.009174221243730598,0.006908272432371013,0.032033363554714235,0.007447374382691711,3.162348472238903e-05
Maramures,-0.4240127171751852,-0.8429388905831503,-1.104416684999001,-0.44804732312976947,-0.1513843903919438,-0.6377070881399326,-0.005832580663836766,-0.23237403384629615,0.16328844676139453,-0.18418247120763614,-0.12979383763717264,0.165759328545302,-0.014545969043558973,0.040920048940214476,0.038341968163894555,-0.01944091820156962,-0.013181099491609675,0.00022706764261207655
Mehedinti,-2.5686853516080883,0.5105498763848175,0.5104560644412224,-0.7509178679860918,0.17610385929309227,0.11003656766152128,0.05785204030572933,0.049133272438148516,-0.2416545941453679,0.01455654599041725,-0.07648260985739556,0.008194461465248907,0.10403691405596245,0.06081755452268466,-0.016048822052995446,0.021849506780825863,-0.010482035460475367,5.910425822172914e-05
Municipiul Bucuresti,19.544079723116358,0.9977247736139256,-0.08073359743423089,-1.5978624066512652,0.49230022513573596,-0.43414262725129027,0.5225162822656316,0.14823478994022066,-0.27630326478332,-0.036136368704265245,0.02972921781950103,-0.009004502937668996,0.004596164015284191,-0.016193631862411476,0.0056297469404959135,0.0013807682802905103,0.002832334095249074,-9.734558979113068e-06
Mures,0.902780970758684,0.17287085374401215,-0.25578856456199617,-0.39523844811486764,-0.606573435154054,0.20939809859244277,-0.002203959406248371,-0.2068278483215256,0.18924624390796974,0.3562361085104054,0.12654485791979134,-0.06247571989475397,-0.13775199219704934,0.02485139963804613,0.009757392173367033,-0.038605104933040445,-0.005015016205855916,-4.3122060164779556e-05
Neamt,-0.8349951431942367,-0.3156318397523352,0.5171377277193505,-1.0202246665480341,0.26762175083026235,-0.2506636853468024,-0.4956116762188346,0.0708972210470301,-0.11447577818421625,-0.12822447679755752,0.12163189374206984,-0.10178209592205267,-0.08713836337890156,0.0710547295121246,-0.022063605183029005,0.01776546441532567,-0.03354736521136094,6.991260951294435e-05
